Label,Key,R,G,B,T
0,Unknown,0,0,0,1
1,Left-Cerebral-Exterior,70,130,180,1
2,Left-Cerebral-White-Matter,245,245,245,1
3,Left-Cerebral-Cortex,205,62,78,1
4,Left-Lateral-Ventricle,120,18,134,1
5,Left-Inf-Lat-Vent,196,58,250,1
6,Left-Cerebellum-Exterior,0,148,0,1
7,Left-Cerebellum-White-Matter,220,248,164,1
8,Left-Cerebellum-Cortex,230,148,34,1
9,Left-Thalamus-unused,0,118,14,1
10,Left-Thalamus,0,118,14,1
11,Left-Caudate,122,186,220,1
12,Left-Putamen,236,13,176,1
13,Left-Pallidum,12,48,255,1
14,3rd-Ventricle,204,182,142,1
15,4th-Ventricle,42,204,164,1
16,Brain-Stem,119,159,176,1
17,Left-Hippocampus,220,216,20,1
18,Left-Amygdala,103,255,255,1
19,Left-Insula,80,196,98,1
20,Left-Operculum,60,58,210,1
21,Line-1,60,58,210,1
22,Line-2,60,58,210,1
23,Line-3,60,58,210,1
24,CSF,60,60,60,1
25,Left-Lesion,255,165,0,1
26,Left-Accumbens-area,255,165,0,1
27,Left-Substancia-Nigra,0,255,127,1
28,Left-VentralDC,165,42,42,1
29,Left-undetermined,135,206,235,1
30,Left-vessel,160,32,240,1
31,Left-choroid-plexus,0,200,200,1
32,Left-F3orb,100,50,100,1
33,Left-lOg,135,50,74,1
34,Left-aOg,122,135,50,1
35,Left-mOg,51,50,135,1
36,Left-pOg,74,155,60,1
37,Left-Stellate,120,62,43,1
38,Left-Porg,74,155,60,1
39,Left-Aorg,122,135,50,1
40,Right-Cerebral-Exterior,70,130,180,1
41,Right-Cerebral-White-Matter,245,245,245,1
42,Right-Cerebral-Cortex,205,62,78,1
43,Right-Lateral-Ventricle,120,18,134,1
44,Right-Inf-Lat-Vent,196,58,250,1
45,Right-Cerebellum-Exterior,0,148,0,1
46,Right-Cerebellum-White-Matter,220,248,164,1
47,Right-Cerebellum-Cortex,230,148,34,1
48,Right-Thalamus-unused,0,118,14,1
49,Right-Thalamus,0,118,14,1
50,Right-Caudate,122,186,220,1
51,Right-Putamen,236,13,176,1
52,Right-Pallidum,13,48,255,1
53,Right-Hippocampus,220,216,20,1
54,Right-Amygdala,103,255,255,1
55,Right-Insula,80,196,98,1
56,Right-Operculum,60,58,210,1
57,Right-Lesion,255,165,0,1
58,Right-Accumbens-area,255,165,0,1
59,Right-Substancia-Nigra,0,255,127,1
60,Right-VentralDC,165,42,42,1
61,Right-undetermined,135,206,235,1
62,Right-vessel,160,32,240,1
63,Right-choroid-plexus,0,200,221,1
64,Right-F3orb,100,50,100,1
65,Right-lOg,135,50,74,1
66,Right-aOg,122,135,50,1
67,Right-mOg,51,50,135,1
68,Right-pOg,74,155,60,1
69,Right-Stellate,120,62,43,1
70,Right-Porg,74,155,60,1
71,Right-Aorg,122,135,50,1
72,5th-Ventricle,120,190,150,1
73,Left-Interior,122,135,50,1
74,Right-Interior,122,135,50,1
77,WM-hypointensities,200,70,255,1
78,Left-WM-hypointensities,255,148,10,1
79,Right-WM-hypointensities,255,148,10,1
80,non-WM-hypointensities,164,108,226,1
81,Left-non-WM-hypointensities,164,108,226,1
82,Right-non-WM-hypointensities,164,108,226,1
83,Left-F1,255,218,185,1
84,Right-F1,255,218,185,1
85,Optic-Chiasm,234,169,30,1
192,Corpus_Callosum,250,255,50,1
86,Left_future_WMSA,200,120,255,1
87,Right_future_WMSA,200,121,255,1
88,future_WMSA,200,122,255,1
96,Left-Amygdala-Anterior,205,10,125,1
97,Right-Amygdala-Anterior,205,10,125,1
98,Dura,160,32,240,1
99,Lesion,255,165,0,1
100,Left-wm-intensity-abnormality,124,140,178,1
101,Left-caudate-intensity-abnormality,125,140,178,1
102,Left-putamen-intensity-abnormality,126,140,178,1
103,Left-accumbens-intensity-abnormality,127,140,178,1
104,Left-pallidum-intensity-abnormality,124,141,178,1
105,Left-amygdala-intensity-abnormality,124,142,178,1
106,Left-hippocampus-intensity-abnormality,124,143,178,1
